Neighborhood,Niche URL,Niche Price
Greenbriar,https://www.niche.com/places-to-live/n/greenbriar-atlanta-ga/,"$102,121"
Downtown,https://www.niche.com/places-to-live/n/downtown-atlanta-ga/,"$132,456"
Adamsville,https://www.niche.com/places-to-live/n/adamsville-atlanta-ga/,"$72,814"
Lenox,https://www.niche.com/places-to-live/n/lenox-atlanta-ga/,0
Edgewood,https://www.niche.com/places-to-live/n/edgewood-atlanta-ga/,"$246,000"
Venetian Hills,https://www.niche.com/places-to-live/n/venetian-hills-atlanta-ga/,"$71,860"
Kirkwood,https://www.niche.com/places-to-live/n/kirkwood-atlanta-ga/,"$278,370"
Buckhead Forest,https://www.niche.com/places-to-live/n/buckhead-forest-atlanta-ga/,"$244,382"
Candler Park,https://www.niche.com/places-to-live/n/candler-park-atlanta-ga/,"$475,706"
Old Fourth Ward,https://www.niche.com/places-to-live/n/old-fourth-ward-atlanta-ga/,"$237,042"
Midtown,https://www.niche.com/places-to-live/n/midtown-atlanta-ga/,"$322,058"
Wilson Mill Meadows,https://www.niche.com/places-to-live/n/wilson-mill-meadows-atlanta-ga/,"$79,500"
Scotts Crossing,https://www.niche.com/places-to-live/n/scotts-crossing-atlanta-ga/,"$105,681"
Chastain Park,https://www.niche.com/places-to-live/n/chastain-park-atlanta-ga/,"$696,809"
Collier Heights,https://www.niche.com/places-to-live/n/collier-heights-atlanta-ga/,"$74,427"
Amal Heights,https://www.niche.com/places-to-live/n/amal-heights-atlanta-ga/,"$72,600"
Inman Park,https://www.niche.com/places-to-live/n/inman-park-atlanta-ga/,"$452,641"
Capitol View,https://www.niche.com/places-to-live/n/capitol-view-atlanta-ga/,"$78,384"
West End,https://www.niche.com/places-to-live/n/west-end-atlanta-ga/,"$94,131"
Oakland City,https://www.niche.com/places-to-live/n/oakland-city-atlanta-ga/,"$77,543"
Baker Hills,https://www.niche.com/places-to-live/n/baker-hills-atlanta-ga/,"$78,831"
Berkeley Park,https://www.niche.com/places-to-live/n/berkeley-park-atlanta-ga/,"$241,610"
Tuxedo Park,https://www.niche.com/places-to-live/n/tuxedo-park-atlanta-ga/,"$893,717"
Springlake,https://www.niche.com/places-to-live/n/springlake-atlanta-ga/,"$652,247"
Fairburn Heights,https://www.niche.com/places-to-live/n/fairburn-heights-atlanta-ga/,"$59,424"
Summerhill,https://www.niche.com/places-to-live/n/summerhill-atlanta-ga/,"$117,307"
South Atlanta,https://www.niche.com/places-to-live/n/south-atlanta-atlanta-ga/,"$85,071"
Green Forest Acres,https://www.niche.com/places-to-live/n/green-forest-acres-atlanta-ga/,"$109,612"
The Villages at Carver,https://www.niche.com/places-to-live/n/the-villages-at-carver-atlanta-ga/,"$95,000"
East Atlanta,https://www.niche.com/places-to-live/n/east-atlanta-atlanta-ga/,"$196,495"
Browns Mill Park,https://www.niche.com/places-to-live/n/browns-mill-park-atlanta-ga/,"$78,390"
Sylvan Hills,https://www.niche.com/places-to-live/n/sylvan-hills-atlanta-ga/,"$75,870"
Home Park,https://www.niche.com/places-to-live/n/home-park-atlanta-ga/,"$208,821"
Dixie Hills,https://www.niche.com/places-to-live/n/dixie-hills-atlanta-ga/,"$64,254"
Lake Claire,https://www.niche.com/places-to-live/n/lake-claire-atlanta-ga/,"$488,797"
Peoplestown,https://www.niche.com/places-to-live/n/peoplestown-atlanta-ga/,"$223,706"
Westview,https://www.niche.com/places-to-live/n/westview-atlanta-ga/,"$137,190"
Blandtown,https://www.niche.com/places-to-live/n/blandtown-atlanta-ga/,"$245,131"
Cascade Avenue/Road,https://www.niche.com/places-to-live/n/cascade-avenue-road-atlanta-ga/,"$95,560"
Penelope Neighbors,https://www.niche.com/places-to-live/n/penelope-neighbors-atlanta-ga/,"$52,169"
Pittsburgh,https://www.niche.com/places-to-live/n/pittsburgh-atlanta-ga/,"$26,111"
Pomona Park,https://www.niche.com/places-to-live/n/pomona-park-atlanta-ga/,"$91,800"
Buckhead Village,https://www.niche.com/places-to-live/n/buckhead-village-atlanta-ga/,"$238,500"
,https://www.niche.com/places-to-live/n/nan-atlanta-ga/,0
Florida Heights,https://www.niche.com/places-to-live/n/florida-heights-atlanta-ga/,"$45,001"
Grove Park,https://www.niche.com/places-to-live/n/grove-park-atlanta-ga/,"$86,278"
Mechanicsville,https://www.niche.com/places-to-live/n/mechanicsville-atlanta-ga/,"$97,288"
Ashview Heights,https://www.niche.com/places-to-live/n/ashview-heights-atlanta-ga/,"$35,567"
Atlanta Industrial Park,https://www.niche.com/places-to-live/n/atlanta-industrial-park-atlanta-ga/,"$101,300"
Lakewood,https://www.niche.com/places-to-live/n/lakewood-atlanta-ga/,"$71,132"
Thomasville Heights,https://www.niche.com/places-to-live/n/thomasville-heights-atlanta-ga/,"$83,533"
Glenrose Heights,https://www.niche.com/places-to-live/n/glenrose-heights-atlanta-ga/,"$61,798"
Ormewood Park,https://www.niche.com/places-to-live/n/ormewood-park-atlanta-ga/,"$284,772"
Pine Hills,https://www.niche.com/places-to-live/n/pine-hills-atlanta-ga/,"$375,790"
Campbellton Road,https://www.niche.com/places-to-live/n/campbellton-road-atlanta-ga/,"$61,244"
Virginia Highland,https://www.niche.com/places-to-live/n/virginia-highland-atlanta-ga/,"$554,002"
Piedmont Heights,https://www.niche.com/places-to-live/n/piedmont-heights-atlanta-ga/,"$417,084"
Perkerson,https://www.niche.com/places-to-live/n/perkerson-atlanta-ga/,"$79,600"
Peachtree Hills,https://www.niche.com/places-to-live/n/peachtree-hills-atlanta-ga/,"$497,415"
Hunter Hills,https://www.niche.com/places-to-live/n/hunter-hills-atlanta-ga/,"$34,308"
Bankhead,https://www.niche.com/places-to-live/n/bankhead-atlanta-ga/,"$85,893"
English Avenue,https://www.niche.com/places-to-live/n/english-avenue-atlanta-ga/,"$145,754"
Wisteria Gardens,https://www.niche.com/places-to-live/n/wisteria-gardens-atlanta-ga/,"$90,900"
Morningside/Lenox Park,https://www.niche.com/places-to-live/n/morningside-lenox-park-atlanta-ga/,"$541,247"
Grant Park,https://www.niche.com/places-to-live/n/grant-park-atlanta-ga/,"$273,434"
Knight Park/Howell Station,https://www.niche.com/places-to-live/n/knight-park-howell-station-atlanta-ga/,"$67,617"
Wesley Battle,https://www.niche.com/places-to-live/n/wesley-battle-atlanta-ga/,"$1,035,536"
Bolton,https://www.niche.com/places-to-live/n/bolton-atlanta-ga/,"$257,299"
Beecher Hills,https://www.niche.com/places-to-live/n/beecher-hills-atlanta-ga/,"$111,460"
Almond Park,https://www.niche.com/places-to-live/n/almond-park-atlanta-ga/,"$23,813"
Carver Hills,https://www.niche.com/places-to-live/n/carver-hills-atlanta-ga/,"$128,192"
East Lake,https://www.niche.com/places-to-live/n/east-lake-atlanta-ga/,"$302,676"
Harris Chiles,https://www.niche.com/places-to-live/n/harris-chiles-atlanta-ga/,"$93,662"
Westwood Terrace,https://www.niche.com/places-to-live/n/westwood-terrace-atlanta-ga/,"$78,823"
Princeton Lakes,https://www.niche.com/places-to-live/n/princeton-lakes-atlanta-ga/,"$128,316"
Adams Park,https://www.niche.com/places-to-live/n/adams-park-atlanta-ga/,"$83,227"
Lindbergh/Morosgo,https://www.niche.com/places-to-live/n/lindbergh-morosgo-atlanta-ga/,"$198,113"
Lakewood Heights,https://www.niche.com/places-to-live/n/lakewood-heights-atlanta-ga/,"$93,352"
Rosedale Heights,https://www.niche.com/places-to-live/n/rosedale-heights-atlanta-ga/,"$73,700"
Capitol View Manor,https://www.niche.com/places-to-live/n/capitol-view-manor-atlanta-ga/,"$120,800"
Adair Park,https://www.niche.com/places-to-live/n/adair-park-atlanta-ga/,"$100,000"
Lindridge/Martin Manor,https://www.niche.com/places-to-live/n/lindridge-martin-manor-atlanta-ga/,"$323,714"
Peachtree Heights West,https://www.niche.com/places-to-live/n/peachtree-heights-west-atlanta-ga/,"$598,832"
Brookwood Hills,https://www.niche.com/places-to-live/n/brookwood-hills-atlanta-ga/,"$714,856"
Poncey-Highland,https://www.niche.com/places-to-live/n/poncey-highland-atlanta-ga/,"$300,339"
Norwood Manor,https://www.niche.com/places-to-live/n/norwood-manor-atlanta-ga/,"$85,044"
North Buckhead,https://www.niche.com/places-to-live/n/north-buckhead-atlanta-ga/,"$549,909"
Woodland Hills,https://www.niche.com/places-to-live/n/woodland-hills-atlanta-ga/,"$179,621"
Hills Park,https://www.niche.com/places-to-live/n/hills-park-atlanta-ga/,"$267,747"
Castleberry Hill,https://www.niche.com/places-to-live/n/castleberry-hill-atlanta-ga/,"$169,132"
Benteen Park,https://www.niche.com/places-to-live/n/benteen-park-atlanta-ga/,"$203,717"
Vine City,https://www.niche.com/places-to-live/n/vine-city-atlanta-ga/,"$156,435"
Marietta Street Artery,https://www.niche.com/places-to-live/n/marietta-street-artery-atlanta-ga/,"$1,194"
Reynoldstown,https://www.niche.com/places-to-live/n/reynoldstown-atlanta-ga/,"$267,206"
Ansley Park,https://www.niche.com/places-to-live/n/ansley-park-atlanta-ga/,"$668,272"
West Lake,https://www.niche.com/places-to-live/n/west-lake-atlanta-ga/,"$69,662"
Lincoln Homes,https://www.niche.com/places-to-live/n/lincoln-homes-atlanta-ga/,"$110,896"
Druid Hills,https://www.niche.com/places-to-live/n/druid-hills-atlanta-ga/,"$549,455"
Westhaven,https://www.niche.com/places-to-live/n/westhaven-atlanta-ga/,"$69,300"
Mozley Park,https://www.niche.com/places-to-live/n/mozley-park-atlanta-ga/,"$93,751"
Sweet Auburn,https://www.niche.com/places-to-live/n/sweet-auburn-atlanta-ga/,"$184,270"
Custer/McDonough/Guice,https://www.niche.com/places-to-live/n/custer-mcdonough-guice-atlanta-ga/,"$167,795"
Wildwood (NPU-H),https://www.niche.com/places-to-live/n/wildwood-(npu-h)-atlanta-ga/,0
Monroe Heights,https://www.niche.com/places-to-live/n/monroe-heights-atlanta-ga/,"$155,000"
Ashley Courts,https://www.niche.com/places-to-live/n/ashley-courts-atlanta-ga/,"$193,900"
Southwest,https://www.niche.com/places-to-live/n/southwest-atlanta-ga/,"$112,093"
Rue Royal,https://www.niche.com/places-to-live/n/rue-royal-atlanta-ga/,"$63,500"
Mt. Paran/Northside,https://www.niche.com/places-to-live/n/mt-paran-northside-atlanta-ga/,"$1,013,018"
Carroll Heights,https://www.niche.com/places-to-live/n/carroll-heights-atlanta-ga/,"$61,301"
Ben Hill,https://www.niche.com/places-to-live/n/ben-hill-atlanta-ga/,"$166,992"
Atlantic Station,https://www.niche.com/places-to-live/n/atlantic-station-atlanta-ga/,"$203,212"
Orchard Knob,https://www.niche.com/places-to-live/n/orchard-knob-atlanta-ga/,"$73,700"
Wildwood (NPU-C),https://www.niche.com/places-to-live/n/wildwood-(npu-c)-atlanta-ga/,0
Tampa Park,https://www.niche.com/places-to-live/n/tampa-park-atlanta-ga/,0
Garden Hills,https://www.niche.com/places-to-live/n/garden-hills-atlanta-ga/,"$597,268"
Washington Park,https://www.niche.com/places-to-live/n/washington-park-atlanta-ga/,"$98,300"
Hammond Park,https://www.niche.com/places-to-live/n/hammond-park-atlanta-ga/,"$73,450"
Fairburn,https://www.niche.com/places-to-live/n/fairburn-atlanta-ga/,"$181,339"
Harland Terrace,https://www.niche.com/places-to-live/n/harland-terrace-atlanta-ga/,"$43,343"
Betmar LaVilla,https://www.niche.com/places-to-live/n/betmar-lavilla-atlanta-ga/,"$72,600"
The Villages at East Lake,https://www.niche.com/places-to-live/n/the-villages-at-east-lake-atlanta-ga/,"$231,669"
High Point,https://www.niche.com/places-to-live/n/high-point-atlanta-ga/,"$179,200"
Center Hill,https://www.niche.com/places-to-live/n/center-hill-atlanta-ga/,"$63,122"
Loring Heights,https://www.niche.com/places-to-live/n/loring-heights-atlanta-ga/,"$293,614"
Cascade Heights,https://www.niche.com/places-to-live/n/cascade-heights-atlanta-ga/,"$123,860"
Underwood Hills,https://www.niche.com/places-to-live/n/underwood-hills-atlanta-ga/,"$248,795"
Wyngate,https://www.niche.com/places-to-live/n/wyngate-atlanta-ga/,"$1,065,400"
West Paces Ferry/Northside,https://www.niche.com/places-to-live/n/west-paces-ferry-northside-atlanta-ga/,"$981,227"
Harvel Homes Community,https://www.niche.com/places-to-live/n/harvel-homes-community-atlanta-ga/,"$51,500"
Carey Park,https://www.niche.com/places-to-live/n/carey-park-atlanta-ga/,"$22,932"
South River Gardens,https://www.niche.com/places-to-live/n/south-river-gardens-atlanta-ga/,"$101,993"
Brookview Heights,https://www.niche.com/places-to-live/n/brookview-heights-atlanta-ga/,"$117,860"
Joyland,https://www.niche.com/places-to-live/n/joyland-atlanta-ga/,"$179,200"
Bankhead Courts,https://www.niche.com/places-to-live/n/bankhead-courts-atlanta-ga/,0
Deerwood,https://www.niche.com/places-to-live/n/deerwood-atlanta-ga/,"$63,500"
Riverside,https://www.niche.com/places-to-live/n/riverside-atlanta-ga/,"$285,411"
Audobon Forest,https://www.niche.com/places-to-live/n/audobon-forest-atlanta-ga/,"$140,472"
Greenbriar Village,https://www.niche.com/places-to-live/n/greenbriar-village-atlanta-ga/,"$127,800"
English Park,https://www.niche.com/places-to-live/n/english-park-atlanta-ga/,"$101,300"
Chosewood Park,https://www.niche.com/places-to-live/n/chosewood-park-atlanta-ga/,"$39,344"
Rebel Valley Forest,https://www.niche.com/places-to-live/n/rebel-valley-forest-atlanta-ga/,"$70,000"
The Villages at Castleberry Hill,https://www.niche.com/places-to-live/n/the-villages-at-castleberry-hill-atlanta-ga/,"$263,200"
Cabbagetown,https://www.niche.com/places-to-live/n/cabbagetown-atlanta-ga/,"$228,700"
Paces,https://www.niche.com/places-to-live/n/paces-atlanta-ga/,"$841,105"
Audobon Forest West,https://www.niche.com/places-to-live/n/audobon-forest-west-atlanta-ga/,"$182,700"
Atlanta University Center,https://www.niche.com/places-to-live/n/atlanta-university-center-atlanta-ga/,"$118,806"
Ben Hill Acres,https://www.niche.com/places-to-live/n/ben-hill-acres-atlanta-ga/,"$108,700"
Brandon,https://www.niche.com/places-to-live/n/brandon-atlanta-ga/,"$793,093"
Magnum Manor,https://www.niche.com/places-to-live/n/magnum-manor-atlanta-ga/,"$109,612"
Blair Villa/Poole Creek,https://www.niche.com/places-to-live/n/blair-villa-poole-creek-atlanta-ga/,"$95,700"
Ben Hill Terrace,https://www.niche.com/places-to-live/n/ben-hill-terrace-atlanta-ga/,"$193,900"
Ridgewood Heights,https://www.niche.com/places-to-live/n/ridgewood-heights-atlanta-ga/,"$306,200"
Boulevard Heights,https://www.niche.com/places-to-live/n/boulevard-heights-atlanta-ga/,"$160,200"
Peyton Forest,https://www.niche.com/places-to-live/n/peyton-forest-atlanta-ga/,"$118,800"
Whittier Mill Village,https://www.niche.com/places-to-live/n/whittier-mill-village-atlanta-ga/,"$313,100"
Oakland,https://www.niche.com/places-to-live/n/oakland-atlanta-ga/,"$149,000"
South Tuxedo Park,https://www.niche.com/places-to-live/n/south-tuxedo-park-atlanta-ga/,"$746,800"
Fairburn Mays,https://www.niche.com/places-to-live/n/fairburn-mays-atlanta-ga/,"$76,299"
Mellwood,https://www.niche.com/places-to-live/n/mellwood-atlanta-ga/,"$63,500"
Fairburn Tell,https://www.niche.com/places-to-live/n/fairburn-tell-atlanta-ga/,"$214,000"
Bankhead/Bolton,https://www.niche.com/places-to-live/n/bankhead-bolton-atlanta-ga/,$777
Sandlewood Estates,https://www.niche.com/places-to-live/n/sandlewood-estates-atlanta-ga/,"$127,800"
Channing Valley,https://www.niche.com/places-to-live/n/channing-valley-atlanta-ga/,"$595,200"
Mays,https://www.niche.com/places-to-live/n/mays-atlanta-ga/,"$108,400"
Polar Rock,https://www.niche.com/places-to-live/n/polar-rock-atlanta-ga/,"$82,400"
Collier Hills,https://www.niche.com/places-to-live/n/collier-hills-atlanta-ga/,"$586,439"
Peachtree Park,https://www.niche.com/places-to-live/n/peachtree-park-atlanta-ga/,"$437,202"
East Chastain Park,https://www.niche.com/places-to-live/n/east-chastain-park-atlanta-ga/,"$540,685"
Rockdale,https://www.niche.com/places-to-live/n/rockdale-atlanta-ga/,"$227,500"
Ardmore,https://www.niche.com/places-to-live/n/ardmore-atlanta-ga/,"$356,635"
Fort Valley,https://www.niche.com/places-to-live/n/fort-valley-atlanta-ga/,"$51,100"
Peachtree Heights East,https://www.niche.com/places-to-live/n/peachtree-heights-east-atlanta-ga/,"$551,820"
Heritage Valley,https://www.niche.com/places-to-live/n/heritage-valley-atlanta-ga/,"$111,700"
Leila Valley,https://www.niche.com/places-to-live/n/leila-valley-atlanta-ga/,"$62,752"
Capitol Gateway,https://www.niche.com/places-to-live/n/capitol-gateway-atlanta-ga/,"$45,904"
Randall Mill,https://www.niche.com/places-to-live/n/randall-mill-atlanta-ga/,"$1,297,300"
Brookhaven,https://www.niche.com/places-to-live/n/brookhaven-atlanta-ga/,"$494,238"
Kings Forest,https://www.niche.com/places-to-live/n/kings-forest-atlanta-ga/,"$108,700"
Bakers Ferry,https://www.niche.com/places-to-live/n/bakers-ferry-atlanta-ga/,"$78,200"
Swallow Circle/Baywood,https://www.niche.com/places-to-live/n/swallow-circle-baywood-atlanta-ga/,"$94,300"
West Manor,https://www.niche.com/places-to-live/n/west-manor-atlanta-ga/,"$109,612"
Brookwood,https://www.niche.com/places-to-live/n/brookwood-atlanta-ga/,"$292,426"
Old Gordon,https://www.niche.com/places-to-live/n/old-gordon-atlanta-ga/,"$70,094"
Midwest Cascade,https://www.niche.com/places-to-live/n/midwest-cascade-atlanta-ga/,"$218,615"
Arden/Habersham,https://www.niche.com/places-to-live/n/arden-habersham-atlanta-ga/,"$1,065,400"
Buckhead Heights,https://www.niche.com/places-to-live/n/buckhead-heights-atlanta-ga/,"$282,400"
East Ardley Road,https://www.niche.com/places-to-live/n/east-ardley-road-atlanta-ga/,"$109,612"
Bush Mountain,https://www.niche.com/places-to-live/n/bush-mountain-atlanta-ga/,"$55,500"
West Highlands,https://www.niche.com/places-to-live/n/west-highlands-atlanta-ga/,"$149,404"
Meadowbrook Forest,https://www.niche.com/places-to-live/n/meadowbrook-forest-atlanta-ga/,"$94,600"
Arlington Estates,https://www.niche.com/places-to-live/n/arlington-estates-atlanta-ga/,"$136,384"
Peachtree Battle Alliance,https://www.niche.com/places-to-live/n/peachtree-battle-alliance-atlanta-ga/,"$913,192"
Cascade Green,https://www.niche.com/places-to-live/n/cascade-green-atlanta-ga/,0
Ben Hill Pines,https://www.niche.com/places-to-live/n/ben-hill-pines-atlanta-ga/,"$63,500"
Laurens Valley,https://www.niche.com/places-to-live/n/laurens-valley-atlanta-ga/,"$135,400"
Westminster/Milmar,https://www.niche.com/places-to-live/n/westminster-milmar-atlanta-ga/,"$622,600"
Lake Estates,https://www.niche.com/places-to-live/n/lake-estates-atlanta-ga/,"$214,000"
Cross Creek,https://www.niche.com/places-to-live/n/cross-creek-atlanta-ga/,"$151,729"
Colonial Homes,https://www.niche.com/places-to-live/n/colonial-homes-atlanta-ga/,"$145,201"
Just Us,https://www.niche.com/places-to-live/n/just-us-atlanta-ga/,"$65,000"
Fairburn Road/Wisteria Lane,https://www.niche.com/places-to-live/n/fairburn-road-wisteria-lane-atlanta-ga/,"$90,900"
Briar Glen,https://www.niche.com/places-to-live/n/briar-glen-atlanta-ga/,"$94,600"
Green Acres Valley,https://www.niche.com/places-to-live/n/green-acres-valley-atlanta-ga/,"$108,400"
Butner/Tell,https://www.niche.com/places-to-live/n/butner-tell-atlanta-ga/,"$181,339"
Fernleaf,https://www.niche.com/places-to-live/n/fernleaf-atlanta-ga/,"$306,200"
Atkins Park,https://www.niche.com/places-to-live/n/atkins-park-atlanta-ga/,"$469,178"
Kingswood,https://www.niche.com/places-to-live/n/kingswood-atlanta-ga/,"$1,297,300"
Ridgedale Park,https://www.niche.com/places-to-live/n/ridgedale-park-atlanta-ga/,"$198,376"
Collier Hills North,https://www.niche.com/places-to-live/n/collier-hills-north-atlanta-ga/,"$198,726"
Oakcliff,https://www.niche.com/places-to-live/n/oakcliff-atlanta-ga/,0
Fort McPherson,https://www.niche.com/places-to-live/n/fort-mcpherson-atlanta-ga/,"$107,834"
Fairway Acres,https://www.niche.com/places-to-live/n/fairway-acres-atlanta-ga/,"$143,700"
Westover Plantation,https://www.niche.com/places-to-live/n/westover-plantation-atlanta-ga/,"$306,200"
Sherwood Forest,https://www.niche.com/places-to-live/n/sherwood-forest-atlanta-ga/,"$846,200"
Boulder Park,https://www.niche.com/places-to-live/n/boulder-park-atlanta-ga/,"$102,728"
Argonne Forest,https://www.niche.com/places-to-live/n/argonne-forest-atlanta-ga/,"$1,111,400"
Ridgecrest Forest,https://www.niche.com/places-to-live/n/ridgecrest-forest-atlanta-ga/,"$190,600"
Niskey Lake,https://www.niche.com/places-to-live/n/niskey-lake-atlanta-ga/,"$210,318"
Niskey Cove,https://www.niche.com/places-to-live/n/niskey-cove-atlanta-ga/,0
Memorial Park,https://www.niche.com/places-to-live/n/memorial-park-atlanta-ga/,"$652,247"
Whitewater Creek,https://www.niche.com/places-to-live/n/whitewater-creek-atlanta-ga/,"$903,297"
Brentwood,https://www.niche.com/places-to-live/n/brentwood-atlanta-ga/,"$123,462"
Woodfield,https://www.niche.com/places-to-live/n/woodfield-atlanta-ga/,"$790,942"
Bolton Hills,https://www.niche.com/places-to-live/n/bolton-hills-atlanta-ga/,"$164,800"
Chalet Woods,https://www.niche.com/places-to-live/n/chalet-woods-atlanta-ga/,"$87,200"
Margaret Mitchell,https://www.niche.com/places-to-live/n/margaret-mitchell-atlanta-ga/,"$1,035,536"
Georgia Tech,https://www.niche.com/places-to-live/n/georgia-tech-atlanta-ga/,"$90,531"
Hanover West,https://www.niche.com/places-to-live/n/hanover-west-atlanta-ga/,"$256,159"
Ivan Hill,https://www.niche.com/places-to-live/n/ivan-hill-atlanta-ga/,"$78,278"
Elmco Estates,https://www.niche.com/places-to-live/n/elmco-estates-atlanta-ga/,"$84,300"
Castlewood,https://www.niche.com/places-to-live/n/castlewood-atlanta-ga/,"$793,093"
Huntington,https://www.niche.com/places-to-live/n/huntington-atlanta-ga/,"$214,000"
Pleasant Hill,https://www.niche.com/places-to-live/n/pleasant-hill-atlanta-ga/,"$492,500"
Ben Hill Forest,https://www.niche.com/places-to-live/n/ben-hill-forest-atlanta-ga/,"$123,462"
Englewood Manor,https://www.niche.com/places-to-live/n/englewood-manor-atlanta-ga/,"$93,800"
State Facility,https://www.niche.com/places-to-live/n/state-facility-atlanta-ga/,"$160,200"
Regency Trace,https://www.niche.com/places-to-live/n/regency-trace-atlanta-ga/,"$127,800"
Mt. Gilead Woods,https://www.niche.com/places-to-live/n/mt-gilead-woods-atlanta-ga/,"$94,600"
Chattahoochee,https://www.niche.com/places-to-live/n/chattahoochee-atlanta-ga/,"$164,800"
Mt. Paran Parkway,https://www.niche.com/places-to-live/n/mt-paran-parkway-atlanta-ga/,0
Wildwood Forest,https://www.niche.com/places-to-live/n/wildwood-forest-atlanta-ga/,"$143,700"
Horseshoe Community,https://www.niche.com/places-to-live/n/horseshoe-community-atlanta-ga/,"$116,300"
Old Fairburn Village,https://www.niche.com/places-to-live/n/old-fairburn-village-atlanta-ga/,"$193,900"
Edmund Park,https://www.niche.com/places-to-live/n/edmund-park-atlanta-ga/,0
